City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Tignere,CM,79.02,overcast clouds,7.3667,12.65,SADECK
544,Pemba,MZ,78.24,clear sky,-12.974,40.5178,Guesthouse Samotina
559,Alofi,NU,76.53,overcast clouds,-19.0595,-169.9187,Taloa Heights
567,Port-Gentil,GA,79.56,light rain,-0.7193,8.7815,Fengshui Residence
625,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
642,Poso,ID,77.67,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
668,Luena,AO,78.91,overcast clouds,-11.7833,19.9167,Hotel Kandamba
669,Cairns,AU,75.15,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
672,Teknaf,BD,78.84,clear sky,20.8624,92.3058,Forestry Guesthouse
677,Antalaha,MG,77.74,clear sky,-14.9003,50.2788,Hotel Vitasoa
678,Namatanai,PG,79.5,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
679,Lubango,AO,76.69,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
686,Nacala,MZ,79.66,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
688,Fare,PF,77.61,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
696,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
699,Ixtapa,MX,78.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
